INFO:__main__:Running stego_core.py
INFO:__main__:Loading colorwheel.png
DEBUG:PIL.PngImagePlugin:STREAM b'IHDR' 16 13
DEBUG:PIL.PngImagePlugin:STREAM b'IDAT' 41 65536
INFO:__main__:Converting to RGBAPixelArray
INFO:__main__:Encoding message
DEBUG:__main__:Column 0: offset 0
DEBUG:__main__: [c19] Pixel 282: 1
DEBUG:__main__: [c19] Pixel 319: 0
DEBUG:__main__: [c19] Pixel 356: 0
DEBUG:__main__: [c19] Pixel 393: 0
DEBUG:__main__: [c19] Pixel 430: 1
DEBUG:__main__: [c19] Pixel 467: 1
DEBUG:__main__: [c19] Pixel 504: 0
DEBUG:__main__: [c19] Pixel 541: 1
DEBUG:__main__: [c19] Pixel 578: 0
DEBUG:__main__: [c19] Pixel 615: 0
DEBUG:__main__: [c19] Pixel 652: 0
DEBUG:__main__: [c19] Pixel 689: 0
DEBUG:__main__: [c19] Pixel 726: 1
DEBUG:__main__:Finished column 19 with offset 5
DEBUG:__main__:Column 20: offset 5
DEBUG:__main__:Column 20: start index 32
DEBUG:__main__: [c20] Pixel 32: 1
DEBUG:__main__: [c20] Pixel 69: 0
DEBUG:__main__: [c20] Pixel 106: 0
DEBUG:__main__: [c20] Pixel 143: 1
DEBUG:__main__: [c20] Pixel 180: 0
DEBUG:__main__: [c20] Pixel 217: 1
DEBUG:__main__: [c20] Pixel 254: 0
DEBUG:__main__: [c20] Pixel 291: 0
DEBUG:__main__: [c20] Pixel 328: 1
DEBUG:__main__: [c20] Pixel 365: 0
DEBUG:__main__: [c20] Pixel 402: 0
DEBUG:__main__: [c20] Pixel 439: 0
DEBUG:__main__: [c20] Pixel 476: 0
DEBUG:__main__: [c20] Pixel 513: 0
DEBUG:__main__: [c20] Pixel 550: 0
DEBUG:__main__: [c20] Pixel 587: 1
DEBUG:__main__: [c20] Pixel 624: 1
DEBUG:__main__: [c20] Pixel 661: 0
DEBUG:__main__: [c20] Pixel 698: 1
DEBUG:__main__: [c20] Pixel 735: 1
DEBUG:__main__:Finished column 20 with offset 33
DEBUG:__main__:Column 21: offset 33
DEBUG:__main__:Column 21: start index 4
DEBUG:__main__: [c21] Pixel 4: 0
DEBUG:__main__: [c21] Pixel 41: 0
DEBUG:__main__: [c21] Pixel 78: 0
DEBUG:__main__: [c21] Pixel 115: 1
DEBUG:__main__: [c21] Pixel 152: 1
DEBUG:__main__: [c21] Pixel 189: 0
DEBUG:__main__: [c21] Pixel 226: 0
DEBUG:__main__: [c21] Pixel 263: 0
DEBUG:__main__: [c21] Pixel 300: 0
DEBUG:__main__: [c21] Pixel 337: 1
DEBUG:__main__: [c21] Pixel 374: 0
DEBUG:__main__: [c21] Pixel 411: 1
DEBUG:__main__: [c21] Pixel 448: 1
DEBUG:__main__: [c21] Pixel 485: 1
DEBUG:__main__: [c21] Pixel 522: 1
DEBUG:__main__: [c21] Pixel 559: 0
DEBUG:__main__: [c21] Pixel 596: 1
DEBUG:__main__: [c21] Pixel 633: 0
DEBUG:__main__: [c21] Pixel 670: 0
DEBUG:__main__: [c21] Pixel 707: 1
DEBUG:__main__: [c21] Pixel 744: 1
DEBUG:__main__:Finished column 21 with offset 24
DEBUG:__main__:Column 22: offset 24
DEBUG:__main__:Column 22: start index 13
DEBUG:__main__: [c22] Pixel 13: 1
DEBUG:__main__: [c22] Pixel 50: 1
DEBUG:__main__: [c22] Pixel 87: 0
DEBUG:__main__: [c22] Pixel 124: 0
DEBUG:__main__: [c22] Pixel 161: 1
DEBUG:__main__: [c22] Pixel 198: 0
DEBUG:__main__: [c22] Pixel 235: 0
DEBUG:__main__: [c22] Pixel 272: 1
DEBUG:__main__: [c22] Pixel 309: 0
DEBUG:__main__: [c22] Pixel 346: 0
DEBUG:__main__: [c22] Pixel 383: 0
DEBUG:__main__: [c22] Pixel 420: 0
DEBUG:__main__: [c22] Pixel 457: 0
DEBUG:__main__: [c22] Pixel 494: 0
DEBUG:__main__: [c22] Pixel 531: 1
DEBUG:__main__: [c22] Pixel 568: 1
DEBUG:__main__: [c22] Pixel 605: 0
DEBUG:__main__: [c22] Pixel 642: 0
DEBUG:__main__: [c22] Pixel 679: 1
DEBUG:__main__: [c22] Pixel 716: 0
DEBUG:__main__: [c22] Pixel 753: 0
DEBUG:__main__:Finished column 22 with offset 15
DEBUG:__main__:Column 23: offset 15
DEBUG:__main__:Column 23: start index 22
DEBUG:__main__: [c23] Pixel 22: 0
DEBUG:__main__: [c23] Pixel 59: 1
DEBUG:__main__: [c23] Pixel 96: 1
DEBUG:__main__: [c23] Pixel 133: 0
DEBUG:__main__: [c23] Pixel 170: 1
DEBUG:__main__: [c23] Pixel 207: 1
DEBUG:__main__: [c23] Pixel 244: 1
DEBUG:__main__: [c23] Pixel 281: 1
DEBUG:__main__: [c23] Pixel 318: 0
